country,year,region,population,life_expectancy,age5_surviving,babies_per_woman,gdp_per_capita,gdp_per_day
Afghanistan,1800,Asia,3280000,28.21,53.142,7,603,1.650924025
Afghanistan,1810,Asia,3280000,28.11,53.002,7,604,1.653661875
Afghanistan,1820,Asia,3323519,28.01,52.862,7,604,1.653661875
Afghanistan,1830,Asia,3448982,27.9,52.719,7,625,1.711156742
Afghanistan,1840,Asia,3625022,27.8,52.576,7,647,1.771389459
Afghanistan,1850,Asia,3810047,27.7,52.433,7,669,1.831622177
Afghanistan,1860,Asia,3973968,27.6,52.29,7,692,1.894592745
Afghanistan,1870,Asia,4169690,27.49,52.147,7,716,1.960301164
Afghanistan,1880,Asia,4419695,27.39,52.004,7,741,2.028747433
Afghanistan,1890,Asia,4710171,27.29,51.861,7,767,2.099931554
Afghanistan,1900,Asia,5021241,27.19,51.823,7,793,2.171115674
Afghanistan,1910,Asia,5351413,27.08,52.432,7,820,2.245037645
Afghanistan,1920,Asia,5813814,26.98,53.386,7,857,2.346338125
Afghanistan,1930,Asia,6394908,26.88,54.26,7.14,913,2.499657769
Afghanistan,1940,Asia,7034081,26.78,55.145,7.4,973,2.663928816
Afghanistan,1950,Asia,7752118,26.85,56.044,7.67,1035,2.833675565
Afghanistan,1951,Asia,7839426,27.13,56.41,7.67,1050,2.874743326
Afghanistan,1952,Asia,7934798,27.67,57.389,7.67,1069,2.926762491
Afghanistan,1953,Asia,8038312,28.19,58.345,7.67,1116,3.055441478
Afghanistan,1954,Asia,8150037,28.73,59.28,7.67,1122,3.071868583
Afghanistan,1955,Asia,8270024,29.27,60.193,7.67,1125,3.080082136
Afghanistan,1956,Asia,8398309,29.8,61.087,7.67,1155,3.162217659
Afghanistan,1957,Asia,8534913,30.34,61.96,7.67,1134,3.104722793
Afghanistan,1958,Asia,8679848,30.86,62.59,7.67,1176,3.219712526
Afghanistan,1959,Asia,8833127,31.4,63.19,7.67,1187,3.249828884
Afghanistan,1960,Asia,8994793,31.94,63.76,7.67,1206,3.301848049
Afghanistan,1961,Asia,9164945,32.47,64.35,7.67,1192,3.263518138
Afghanistan,1962,Asia,9343772,33.01,64.94,7.67,1188,3.252566735
Afghanistan,1963,Asia,9531555,33.53,65.5,7.67,1185,3.244353183
Afghanistan,1964,Asia,9728645,34.07,66.03,7.67,1182,3.23613963
Afghanistan,1965,Asia,9935358,34.6,66.59,7.67,1182,3.23613963
Afghanistan,1966,Asia,10148841,35.13,67.13,7.67,1168,3.197809719
Afghanistan,1967,Asia,10368600,35.66,67.67,7.67,1173,3.211498973
Afghanistan,1968,Asia,10599790,36.17,68.19,7.67,1187,3.249828884
Afghanistan,1969,Asia,10849510,36.69,68.7,7.67,1178,3.225188227
Afghanistan,1970,Asia,11121097,37.2,69.22,7.67,1174,3.214236824
Afghanistan,1971,Asia,11412821,37.7,69.79,7.67,1092,2.98973306
Afghanistan,1972,Asia,11716896,38.19,70.36,7.67,1046,2.863791923
Afghanistan,1973,Asia,12022514,38.67,70.92,7.67,1137,3.112936345
Afghanistan,1974,Asia,12315553,39.14,71.51,7.67,1170,3.203285421
Afghanistan,1975,Asia,12582954,39.61,72.06,7.67,1201,3.288158795
Afghanistan,1976,Asia,12831361,40.07,72.64,7.67,1231,3.370294319
Afghanistan,1977,Asia,13056499,40.53,73.22,7.67,1119,3.063655031
Afghanistan,1978,Asia,13222547,40.98,73.84,7.67,1179,3.227926078
Afghanistan,1979,Asia,13283279,41.46,74.45,7.67,1155,3.162217659
Afghanistan,1980,Asia,13211412,41.96,75.09,7.67,1158,3.170431211
Afghanistan,1981,Asia,12996923,42.51,75.73,7.67,1284,3.515400411
Afghanistan,1982,Asia,12667001,43.11,76.38,7.67,1402,3.838466804
Afghanistan,1983,Asia,12279095,43.75,77.03,7.67,1454,3.980835044
Afghanistan,1984,Asia,11912510,44.45,77.71,7.68,1429,3.912388775
Afghanistan,1985,Asia,11630498,45.21,78.4,7.68,1384,3.789185489
Afghanistan,1986,Asia,11438949,46.02,79.08,7.68,1486,4.06844627
Afghanistan,1987,Asia,11337932,46.87,79.79,7.68,1230,3.367556468
Afghanistan,1988,Asia,11375768,47.74,80.5,7.68,1113,3.047227926
Afghanistan,1989,Asia,11608351,48.62,81.22,7.68,1087,2.976043806
Afghanistan,1990,Asia,12067570,49.5,81.9,7.69,1028,2.814510609
Afghanistan,1991,Asia,12789374,49.3,82.58,7.7,1022,2.798083504
Afghanistan,1992,Asia,13745630,49.4,83.22,7.73,941,2.576317591
Afghanistan,1993,Asia,14824371,49.5,83.8,7.76,810,2.217659138
Afghanistan,1994,Asia,15869967,48.9,84.32,7.8,725,1.984941821
Afghanistan,1995,Asia,16772522,49.4,84.77,7.83,872,2.387405886
Afghanistan,1996,Asia,17481800,49.7,85.14,7.86,895,2.450376454
Afghanistan,1997,Asia,18034130,49.5,85.45,7.87,921,2.521560575
Afghanistan,1998,Asia,18511480,48.6,85.74,7.85,947,2.592744695
Afghanistan,1999,Asia,19038420,50,86.01,7.81,972,2.661190965
Afghanistan,2000,Asia,19701940,50.1,86.3,7.73,962,2.633812457
Afghanistan,2001,Asia,20531160,50.4,86.62,7.62,862,2.360027379
Afghanistan,2002,Asia,21487079,51,86.97,7.48,1053,2.882956879
Afghanistan,2003,Asia,22507368,51.4,87.32,7.32,1097,3.003422313
Afghanistan,2004,Asia,23499850,51.8,87.68,7.14,1067,2.92128679
Afghanistan,2005,Asia,24399948,52,88.04,6.93,1146,3.137577002
Afghanistan,2006,Asia,25183615,52.1,88.37,6.7,1173,3.211498973
Afghanistan,2007,Asia,25877544,52.4,88.68,6.46,1298,3.553730322
Afghanistan,2008,Asia,26528741,52.8,88.96,6.2,1311,3.589322382
Afghanistan,2009,Asia,27207291,53.3,89.24,5.93,1548,4.238193018
Afghanistan,2010,Asia,27962207,53.6,89.5,5.66,1637,4.481861739
Afghanistan,2011,Asia,28809167,54,89.77,5.4,1695,4.640657084
Afghanistan,2012,Asia,29726803,54.4,90.05,5.14,1893,5.18275154
Afghanistan,2013,Asia,30682500,54.8,90.33,4.9,1884,5.158110883
Afghanistan,2014,Asia,31627506,54.9,90.61,4.68,1877,5.138945927
Afghanistan,2015,Asia,32526562,53.8,90.89,4.47,1925,5.270362765
Albania,1800,Europe,410445,35.4,62.48,4.6,667,1.826146475
Albania,1810,Europe,423591,35.4,62.48,4.6,668,1.828884326
Albania,1820,Europe,438671,35.4,62.48,4.6,669,1.831622177
Albania,1830,Europe,457234,35.4,62.48,4.6,685,1.875427789
Albania,1840,Europe,478227,35.4,62.48,4.6,701,1.919233402
Albania,1850,Europe,506889,35.4,62.48,4.6,717,1.963039014
Albania,1860,Europe,552800,35.4,62.48,4.6,733,2.006844627
Albania,1870,Europe,610036,35.4,62.48,4.6,750,2.05338809
Albania,1880,Europe,672544,35.4,62.48,4.6,870,2.381930185
Albania,1890,Europe,741688,35.4,62.48,4.6,1008,2.759753593
Albania,1900,Europe,819950,35.4,62.561,4.6,1157,3.167693361
Albania,1910,Europe,901122,35.4,63.144,4.6,1320,3.613963039
Albania,1920,Europe,963956,35.4,64.021,4.6,1516,4.150581793
Albania,1930,Europe,1015991,36.29,65.903,3.72,1696,4.643394935
Albania,1940,Europe,1123210,42,75.539,4.19,1797,4.919917864
Albania,1950,Europe,1263171,54.48,83.483,5.8,1883,5.155373032
Albania,1951,Europe,1287499,54.72,83.83,5.9,1965,5.379876797
Albania,1952,Europe,1316086,55.23,84.17,6.07,1968,5.388090349
Albania,1953,Europe,1348097,55.85,84.503,6.21,2048,5.607118412
Albania,1954,Europe,1382881,56.59,84.829,6.31,2108,5.771389459
Albania,1955,Europe,1419969,57.45,85.148,6.37,2222,6.083504449
Albania,1956,Europe,1459089,58.42,85.46,6.4,2244,6.143737166
Albania,1957,Europe,1500152,59.48,85.766,6.39,2387,6.535249829
Albania,1958,Europe,1543224,60.6,86.065,6.35,2493,6.825462012
Albania,1959,Europe,1588478,61.75,86.358,6.28,2594,7.101984942
Albania,1960,Europe,1636054,62.87,86.645,6.19,2724,7.457905544
Albania,1961,Europe,1685901,63.92,86.926,6.08,2744,7.51266256
Albania,1962,Europe,1737645,64.84,87.201,5.96,2832,7.753593429
Albania,1963,Europe,1790533,65.6,87.47,5.83,2926,8.010951403
Albania,1964,Europe,1843596,66.18,87.733,5.71,3023,8.27652293
Albania,1965,Europe,1896125,66.59,87.991,5.59,3129,8.566735113
Albania,1966,Europe,1947786,66.88,88.244,5.48,3242,8.876112252
Albania,1967,Europe,1998695,67.11,88.491,5.38,3359,9.196440794
Albania,1968,Europe,2049147,67.32,88.733,5.27,3475,9.514031485
Albania,1969,Europe,2099657,67.55,88.97,5.16,3587,9.820670773
Albania,1970,Europe,2150602,67.83,89.202,5.05,3712,10.16290212
Albania,1971,Europe,2202040,68.16,89.429,4.93,3849,10.53798768
Albania,1972,Europe,2253842,68.53,89.651,4.81,3988,10.91854894
Albania,1973,Europe,2305999,68.93,89.869,4.68,4174,11.42778919
Albania,1974,Europe,2358467,69.35,90.082,4.54,4177,11.43600274
Albania,1975,Europe,2411229,69.77,90.29,4.39,4178,11.43874059
Albania,1976,Europe,2464338,70.17,90.494,4.24,4182,11.44969199
Albania,1977,Europe,2517869,70.54,90.694,4.09,4188,11.4661191
Albania,1978,Europe,2571845,70.86,90.89,3.95,4194,11.4825462
Albania,1979,Europe,2626290,71.14,91.53,3.81,4201,11.50171116
Albania,1980,Europe,2681245,71.39,92.14,3.68,4218,11.54825462
Albania,1981,Europe,2735329,71.63,92.7,3.56,4227,11.57289528
Albania,1982,Europe,2788315,71.88,93.22,3.46,4237,11.60027379
Albania,1983,Europe,2842620,72.15,93.72,3.37,4248,11.63039014
Albania,1984,Europe,2901590,72.42,94.17,3.3,4259,11.6605065
Albania,1985,Europe,2966799,72.71,94.57,3.23,4267,11.68240931
Albania,1986,Europe,3041003,72.96,94.93,3.18,4281,11.72073922
Albania,1987,Europe,3121336,73.14,95.24,3.13,4294,11.75633128
Albania,1988,Europe,3197064,73.25,95.51,3.08,4307,11.79192334
Albania,1989,Europe,3253659,73.3,95.75,3.02,4325,11.84120465
