Country,Power Consumption KWH,Text
China,5.523E+12,"China 5,523,000,000,000"
United States,3.832E+12,"United 3,832,000,000,000"
European,2.771E+12,"European 2,771,000,000,000"
Russia,1.065E+12,"Russia 1,065,000,000,000"
Japan,9.21E+11,"Japan 921,000,000,000"
India,8.647E+11,"India 864,700,000,000"
Germany,5.401E+11,"Germany 540,100,000,000"
Canada,5.11E+11,"Canada 511,000,000,000"
Brazil,4.835E+11,"Brazil 483,500,000,000"
"Korea,",4.824E+11,"Korea, 482,400,000,000"
France,4.511E+11,"France 451,100,000,000"
United Kingdom,3.191E+11,"United 319,100,000,000"
Italy,3.031E+11,"Italy 303,100,000,000"
Taiwan,2.495E+11,"Taiwan 249,500,000,000"
Spain,2.431E+11,"Spain 243,100,000,000"
Mexico,2.34E+11,"Mexico 234,000,000,000"
Saudi,2.316E+11,"Saudi 231,600,000,000"
Australia,2.226E+11,"Australia 222,600,000,000"
South,2.116E+11,"South 211,600,000,000"
Turkey,1.97E+11,"Turkey 197,000,000,000"
Iran,1.953E+11,"Iran 195,300,000,000"
Indonesia,1.675E+11,"Indonesia 167,500,000,000"
Ukraine,1.598E+11,"Ukraine 159,800,000,000"
Thailand,1.559E+11,"Thailand 155,900,000,000"
Poland,1.39E+11,"Poland 139,000,000,000"
Egypt,1.356E+11,"Egypt 135,600,000,000"
Sweden,1.305E+11,"Sweden 130,500,000,000"
Norway,1.264E+11,"Norway 126,400,000,000"
Malaysia,1.185E+11,"Malaysia 118,500,000,000"
Argentina,1.171E+11,"Argentina 117,100,000,000"
Netherlands,1.168E+11,"Netherlands 116,800,000,000"
Vietnam,1.083E+11,"Vietnam 108,300,000,000"
Venezuela,97690000000,"Venezuela 97,690,000,000"
United Arab Emirates,93280000000,"United 93,280,000,000"
Finland,82040000000,"Finland 82,040,000,000"
Belgium,81890000000,"Belgium 81,890,000,000"
Kazakhstan,80290000000,"Kazakhstan 80,290,000,000"
Pakistan,78890000000,"Pakistan 78,890,000,000"
Philippines,75270000000,"Philippines 75,270,000,000"
Austria,69750000000,"Austria 69,750,000,000"
Chile,63390000000,"Chile 63,390,000,000"
Czechia,60550000000,"Czechia 60,550,000,000"
Israel,59830000000,"Israel 59,830,000,000"
Switzerland,58010000000,"Switzerland 58,010,000,000"
Greece,57730000000,"Greece 57,730,000,000"
Iraq,53410000000,"Iraq 53,410,000,000"
Romania,50730000000,"Romania 50,730,000,000"
Kuwait,50000000000,"Kuwait 50,000,000,000"
Colombia,49380000000,"Colombia 49,380,000,000"
Singapore,47180000000,"Singapore 47,180,000,000"
Portugal,46250000000,"Portugal 46,250,000,000"
Uzbekistan,45210000000,"Uzbekistan 45,210,000,000"
Hong,44210000000,"Hong 44,210,000,000"
Algeria,42870000000,"Algeria 42,870,000,000"
Bangladesh,41520000000,"Bangladesh 41,520,000,000"
New,40300000000,"New 40,300,000,000"
Bulgaria,37990000000,"Bulgaria 37,990,000,000"
Belarus,37880000000,"Belarus 37,880,000,000"
Peru,35690000000,"Peru 35,690,000,000"
Denmark,31960000000,"Denmark 31,960,000,000"
Qatar,30530000000,"Qatar 30,530,000,000"
Slovakia,28360000000,"Slovakia 28,360,000,000"
Libya,27540000000,"Libya 27,540,000,000"
Serbia,26910000000,"Serbia 26,910,000,000"
Morocco,26700000000,"Morocco 26,700,000,000"
Syria,25700000000,"Syria 25,700,000,000"
Nigeria,24780000000,"Nigeria 24,780,000,000"
Ireland,24240000000,"Ireland 24,240,000,000"
Hungary,21550000000,"Hungary 21,550,000,000"
Oman,20360000000,"Oman 20,360,000,000"
Ecuador,19020000000,"Ecuador 19,020,000,000"
Puerto,18620000000,"Puerto 18,620,000,000"
Azerbaijan,17790000000,"Azerbaijan 17,790,000,000"
Croatia,16970000000,"Croatia 16,970,000,000"
Iceland,16940000000,"Iceland 16,940,000,000"
Cuba,16200000000,"Cuba 16,200,000,000"
"Korea,",16000000000,"Korea, 16,000,000,000"
Dominican,15140000000,"Dominican 15,140,000,000"
Jordan,14560000000,"Jordan 14,560,000,000"
Tajikistan,14420000000,"Tajikistan 14,420,000,000"
Tunisia,13310000000,"Tunisia 13,310,000,000"
Slovenia,13020000000,"Slovenia 13,020,000,000"
Lebanon,12940000000,"Lebanon 12,940,000,000"
Bosnia,12560000000,"Bosnia 12,560,000,000"
Turkmenistan,11750000000,"Turkmenistan 11,750,000,000"
Bahrain,11690000000,"Bahrain 11,690,000,000"
Mozambique,11280000000,"Mozambique 11,280,000,000"
Ghana,10580000000,"Ghana 10,580,000,000"
Sri,10170000000,"Sri 10,170,000,000"
Kyrgyzstan,9943000000,"Kyrgyzstan 9,943,000,000"
Lithuania,9664000000,"Lithuania 9,664,000,000"
Uruguay,9559000000,"Uruguay 9,559,000,000"
Costa,8987000000,"Costa 8,987,000,000"
Guatemala,8915000000,"Guatemala 8,915,000,000"
Georgia,8468000000,"Georgia 8,468,000,000"
Trinidad,8365000000,"Trinidad 8,365,000,000"
Zambia,8327000000,"Zambia 8,327,000,000"
Paraguay,8125000000,"Paraguay 8,125,000,000"
Albania,7793000000,"Albania 7,793,000,000"
Burma,7765000000,"Burma 7,765,000,000"
Estonia,7417000000,"Estonia 7,417,000,000"
"Congo,",7292000000,"Congo, 7,292,000,000"
Panama,7144000000,"Panama 7,144,000,000"
Latvia,7141000000,"Latvia 7,141,000,000"
Macedonia,6960000000,"Macedonia 6,960,000,000"
Zimbabwe,6831000000,"Zimbabwe 6,831,000,000"
Kenya,6627000000,"Kenya 6,627,000,000"
Bolivia,6456000000,"Bolivia 6,456,000,000"
Luxembourg,6108000000,"Luxembourg 6,108,000,000"
Sudan,5665000000,"Sudan 5,665,000,000"
El,5665000000,"El 5,665,000,000"
Cameroon,5535000000,"Cameroon 5,535,000,000"
West,5312000000,"West 5,312,000,000"
Ethiopia,5227000000,"Ethiopia 5,227,000,000"
Armenia,5043000000,"Armenia 5,043,000,000"
Honduras,5036000000,"Honduras 5,036,000,000"
Angola,4842000000,"Angola 4,842,000,000"
Cote,4731000000,"Cote 4,731,000,000"
Tanzania,4545000000,"Tanzania 4,545,000,000"
Nicaragua,4412000000,"Nicaragua 4,412,000,000"
Moldova,4305000000,"Moldova 4,305,000,000"
Cyprus,4296000000,"Cyprus 4,296,000,000"
Macau,4291000000,"Macau 4,291,000,000"
Namibia,4238000000,"Namibia 4,238,000,000"
Mongolia,4204000000,"Mongolia 4,204,000,000"
Afghanistan,3893000000,"Afghanistan 3,893,000,000"
Yemen,3838000000,"Yemen 3,838,000,000"
Brunei,3766000000,"Brunei 3,766,000,000"
Cambodia,3553000000,"Cambodia 3,553,000,000"
Montenegro,3465000000,"Montenegro 3,465,000,000"
Nepal,3239000000,"Nepal 3,239,000,000"
Botswana,3213000000,"Botswana 3,213,000,000"
Papua,3116000000,"Papua 3,116,000,000"
Jamaica,3008000000,"Jamaica 3,008,000,000"
Kosovo,2887000000,"Kosovo 2,887,000,000"
Laos,2874000000,"Laos 2,874,000,000"
Uganda,2821000000,"Uganda 2,821,000,000"
New,2716000000,"New 2,716,000,000"
Mauritius,2658000000,"Mauritius 2,658,000,000"
Senegal,2586000000,"Senegal 2,586,000,000"
Bhutan,2085000000,"Bhutan 2,085,000,000"
Malawi,2027000000,"Malawi 2,027,000,000"
Madagascar,1883000000,"Madagascar 1,883,000,000"
"Bahamas,",1716000000,"Bahamas, 1,716,000,000"
Gabon,1680000000,"Gabon 1,680,000,000"
